"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08"
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-17","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-18","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-19","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-20","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-21","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-22","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-23","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-24","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-25","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-26","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-27","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-28","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-29","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-30","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-07-31","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-01","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-02","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-03","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-04","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-05","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-06","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-07","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-08","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-09","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-10","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-11","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-12","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-13","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-14","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-15","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-16","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-17","0.03",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-18","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-19","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-20","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-21","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-22","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-23","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-24","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-25","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-26","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-27","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-28","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-29","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-30","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-08-31","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-01","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-02","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-03","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-04","0.00",,,,,,,
